record_id,operation,data_store,is_first_query,exec_time,num_records
1662365066444,query_type_2__6x,cloudwatch_logs,FALSE,3200,
1662365069884,query_type_2__6x,cloudwatch_logs,FALSE,3192,
1662365073305,query_type_2__6x,cloudwatch_logs,FALSE,3173,
1662365076684,query_type_2__6x,elasticsearch,TRUE,1771,
1662365078729,query_type_2__6x,elasticsearch,FALSE,429,
1662365079438,query_type_2__6x,elasticsearch,FALSE,478,
1662365080121,query_type_2__6x,elasticsearch,FALSE,420,
1662365080804,query_type_2__6x,elasticsearch,FALSE,424,
1662365081503,query_type_2__6x,elasticsearch,FALSE,399,
1662365082203,query_type_2__6x,elasticsearch,FALSE,439,
1662365083278,query_type_2__6x,elasticsearch,FALSE,439,
1662365083945,query_type_2__6x,elasticsearch,FALSE,417,
1662365084623,query_type_2__6x,elasticsearch,FALSE,458,
1662365085336,query_type_2__6x,rds,TRUE,5765,
1662365091322,query_type_2__6x,rds,FALSE,5668,
1662365097198,query_type_2__6x,rds,FALSE,6096,
1662365103517,query_type_2__6x,rds,FALSE,6041,
1662365109758,query_type_2__6x,rds,FALSE,5570,
1662365115521,query_type_2__6x,rds,FALSE,5644,
1662365121402,query_type_2__6x,rds,FALSE,5669,
1662365127305,query_type_2__6x,rds,FALSE,5766,
1662365133308,query_type_2__6x,rds,FALSE,5841,
1662365139359,query_type_2__6x,rds,FALSE,5607,
1662365145260,query_type_2__6x,ts,TRUE,4102,
1662365149668,query_type_2__6x,ts,FALSE,2399,
1662365152303,query_type_2__6x,ts,FALSE,2053,
1662365154585,query_type_2__6x,ts,FALSE,2298,
1662365157125,query_type_2__6x,ts,FALSE,2279,
1662365159688,query_type_2__6x,ts,FALSE,1960,
1662365161865,query_type_2__6x,ts,FALSE,1945,
1662365164104,query_type_2__6x,ts,FALSE,1859,
1662365166203,query_type_2__6x,ts,FALSE,1959,
1662365168382,query_type_2__6x,ts,FALSE,1879,
1662374479835,query_type_2__7x,cloudwatch_logs,TRUE,3419,
1662374483538,query_type_2__7x,cloudwatch_logs,FALSE,3230,
1662374486969,query_type_2__7x,cloudwatch_logs,FALSE,3230,
1662374490394,query_type_2__7x,cloudwatch_logs,FALSE,3230,
1662374493829,query_type_2__7x,cloudwatch_logs,FALSE,3264,
1662374497309,query_type_2__7x,cloudwatch_logs,FALSE,3267,
